Squad;Competition;Poss%;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;GA;OG;GA/90;Save%;CS%;PSxG;PSxG/SoT;PSxG+/-;SoTA/90;SoTA/GA;Sh;Sh/90;SoT/90;SoT/G;G-xG;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xA;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;SCA/90;GCA/90;Press%;TklW/90;Blocks/90;Int/90;Err/90;Tkl+Int/90;Touches/90;Dribbles/90;Dribbles%;Points/90;xGA;xGA/90;Aerial%;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90
Alavés;La Liga;41.9;15;10;8;20.7;11.2;0.68;0.45;0.36;0.94;0.51;35;0;1.59;62.1;18.2;30.9;0.32;-4.1;3.95;2.49;218;9.91;2.64;5.8;-5.699999999999999;71.6;81.2;79.5;54.2;-3.2;269.23;375.91;100.77;111.23;53.55;5924.09;2398.32;6.5;21.59;5.14;1.95;22.14;14.27;1.05;25.1;9.18;15.91;13.64;0.23;28.95;494.23;7.36;52.8;0.77;30.6;1.39;58.5;85.23;15.05;12.41;26.82;-9.900000000000002;-0.44999999999999996
Athletic Club;La Liga;48.5;19;18;16;28.7;19.8;0.86;0.82;0.73;1.3;0.9;17;0;0.77;79.5;40.9;17.6;0.23;0.6;3.32;4.29;277;12.59;3.5;4.28;-9.7;76.1;86.1;82.3;54.3;-3.8;350.05;460.18;140.68;152.05;50.73;6853.55;2580.0;8.73;29.32;8.32;1.86;36.95;19.14;1.55;28.1;9.68;16.09;12.64;0.09;27.77;575.0;8.0;53.2;1.41;21.2;0.96;48.3;91.0;13.0;11.68;17.91;7.5;0.3400000000000001
Atlético Madrid;La Liga;53.4;34;33;25;29.5;21.5;1.62;1.57;1.19;1.4;1.02;26;2;1.24;47.7;28.6;16.0;0.29;-8.0;2.1;1.69;277;13.19;4.24;2.7;4.5;81.5;89.6;87.4;61.4;3.5;431.38;529.05;185.95;172.29;63.71;8277.9;2721.1;9.86;33.67;10.29;2.24;37.52;19.71;2.62;32.0;10.38;13.14;11.81;0.24;29.1;634.71;9.0;59.8;1.71;16.5;0.79;53.8;82.71;11.76;12.9;16.71;13.0;0.6099999999999999
Barcelona;La Liga;65.3;32;28;23;33.7;23.7;1.52;1.33;1.1;1.6;1.13;23;0;1.1;62.9;23.8;21.1;0.34;-1.9;2.95;2.7;272;12.95;4.14;3.11;-1.7000000000000028;86.5;92.0;90.3;70.4;-0.7;558.0;645.38;238.81;237.62;71.71;10407.38;3119.48;10.19;43.1;10.14;2.05;43.71;21.62;2.62;33.8;10.86;13.86;11.14;0.38;27.38;756.19;10.71;59.2;1.67;19.8;0.94;51.6;81.0;14.19;14.9;14.0;13.900000000000002;0.6600000000000001
Betis;La Liga;53.1;40;36;30;34.6;23.4;1.82;1.64;1.36;1.57;1.06;25;2;1.14;70.5;27.3;27.1;0.33;4.1;3.55;3.12;312;14.18;5.23;3.19;5.399999999999999;81.1;88.8;87.2;60.8;6.6;403.64;497.64;168.73;168.41;57.27;7771.59;2616.64;10.77;28.55;9.45;1.64;33.09;22.82;2.86;28.6;11.5;15.59;13.45;0.27;31.45;617.5;9.45;56.7;1.82;27.6;1.25;48.6;81.36;12.91;11.86;15.55;7.0;0.32000000000000006
Cádiz;La Liga;35.4;19;16;12;20.0;11.2;0.86;0.73;0.55;0.91;0.51;36;0;1.64;70.8;22.7;36.2;0.31;0.2;4.82;2.94;202;9.18;2.27;3.12;-1.0;68.2;82.8;77.3;46.9;0.8;224.14;328.68;85.77;88.27;45.45;4888.59;1971.5;5.86;17.59;4.91;2.27;19.09;12.82;1.32;28.5;12.05;17.0;16.23;0.27;35.5;452.09;6.09;49.8;0.82;36.2;1.65;46.9;81.0;11.77;10.86;18.5;-16.200000000000003;-0.7399999999999999
Celta Vigo;La Liga;55.1;26;24;17;25.1;15.7;1.18;1.09;0.77;1.14;0.71;25;0;1.14;71.8;36.4;29.6;0.31;4.6;3.86;3.4;227;10.32;3.41;3.12;0.8999999999999986;77.9;86.9;84.1;60.2;1.3;410.36;526.64;164.27;167.77;69.32;8188.82;2540.27;6.91;26.91;7.27;2.14;29.5;15.91;1.77;32.3;13.36;18.32;15.18;0.18;36.86;647.91;7.45;53.8;1.23;28.7;1.3;50.0;92.23;12.95;12.0;20.27;-3.599999999999998;-0.16000000000000014
Elche;La Liga;47.5;23;22;17;20.2;15.9;1.05;1.0;0.77;0.92;0.72;30;0;1.36;75.5;22.7;33.1;0.27;3.1;4.64;3.4;178;8.09;2.91;2.91;2.8000000000000007;78.4;87.0;86.9;58.3;1.1;342.5;436.77;133.36;146.5;56.95;6966.68;2434.14;6.14;19.73;5.05;2.05;22.5;12.55;1.59;26.4;8.55;14.59;14.09;0.32;29.95;550.82;7.82;54.1;1.05;34.4;1.56;45.9;72.45;13.23;12.86;13.36;-14.2;-0.64
Espanyol;La Liga;46.9;26;22;15;25.9;17.1;1.18;1.0;0.68;1.18;0.78;30;2;1.36;69.2;27.3;26.9;0.28;-1.1;4.14;3.03;258;11.73;3.68;3.68;0.10000000000000142;79.9;89.8;87.2;56.1;-2.1;347.68;435.27;141.95;147.91;49.64;6729.91;2300.05;7.95;26.27;5.73;1.73;24.55;18.23;1.91;27.4;9.45;13.45;12.36;0.41;27.5;550.27;9.18;56.9;1.23;29.5;1.34;44.2;72.95;10.86;13.18;13.05;-3.6000000000000014;-0.16000000000000014
Getafe;La Liga;41.5;17;17;14;15.7;11.1;0.77;0.77;0.64;0.71;0.5;23;0;1.05;70.8;31.8;21.1;0.27;-1.9;3.27;3.13;239;10.86;2.91;3.76;1.3000000000000007;72.5;83.5;80.5;53.0;2.9;277.77;383.23;110.82;107.95;52.36;5804.14;2273.14;7.68;21.68;4.86;2.09;23.73;17.0;1.36;27.6;11.41;15.68;16.68;0.32;35.27;495.73;6.68;50.0;1.0;22.9;1.04;50.0;80.36;15.55;11.82;22.05;-7.199999999999999;-0.33000000000000007
Granada;La Liga;45.6;26;25;16;21.3;13.4;1.18;1.14;0.73;0.97;0.61;33;2;1.5;69.9;18.2;30.7;0.28;-0.3;4.68;3.12;219;9.95;3.27;2.88;4.699999999999999;73.8;84.3;83.3;52.7;2.6;290.45;393.82;107.45;124.41;53.0;6080.68;2242.45;6.77;21.36;5.32;2.32;23.68;14.95;1.59;29.0;9.82;16.59;12.45;0.32;29.14;507.0;6.14;52.3;1.09;31.6;1.44;41.6;79.45;12.5;13.27;17.27;-10.3;-0.47
Levante;La Liga;46.1;21;18;15;25.3;13.0;1.0;0.86;0.71;1.2;0.62;43;0;2.05;61.9;19.0;35.5;0.31;-7.5;5.0;2.44;210;10.0;3.62;4.22;-4.300000000000001;77.1;87.7;84.6;56.2;2.0;324.1;420.43;127.05;136.57;53.29;6506.86;2337.71;6.86;23.67;6.1;1.71;30.95;14.57;1.48;27.5;10.0;12.57;14.43;0.24;31.1;529.76;8.43;50.0;0.52;29.3;1.4;48.7;77.43;14.95;11.76;13.76;-4.0;-0.19999999999999996
Mallorca;La Liga;46.0;16;15;12;19.3;12.6;0.76;0.71;0.57;0.92;0.6;33;2;1.57;63.9;28.6;25.9;0.27;-5.1;3.95;2.52;234;11.14;3.62;5.07;-3.3000000000000007;74.8;85.9;82.0;52.0;-0.6;292.1;390.76;119.48;118.14;46.1;5725.14;2096.1;7.14;20.1;4.86;1.14;23.95;16.33;1.14;29.4;11.33;14.38;13.29;0.29;30.9;506.14;9.29;58.7;0.95;26.8;1.28;47.1;82.05;14.24;15.29;17.1;-7.5;-0.36
Osasuna;La Liga;46.5;22;18;13;21.8;14.0;1.0;0.82;0.59;0.99;0.64;27;1;1.23;65.8;36.4;22.9;0.3;-3.1;3.32;2.7;247;11.23;3.09;3.78;0.1999999999999993;72.5;81.9;80.6;53.7;-1.0;308.32;425.41;117.77;129.73;55.5;6562.14;2649.55;7.27;29.59;8.23;2.64;30.41;15.18;1.41;29.3;9.45;16.05;14.5;0.09;31.0;542.64;6.59;54.1;1.27;22.1;1.0;52.3;90.73;13.91;10.64;25.64;-0.3000000000000007;-0.010000000000000009
Rayo Vallecano;La Liga;50.3;26;23;20;26.5;18.8;1.24;1.1;0.95;1.26;0.9;22;1;1.05;78.7;28.6;26.7;0.27;5.7;3.57;3.41;278;13.24;3.81;3.48;-0.5;76.7;86.4;84.1;57.6;1.2;334.19;435.9;126.19;141.33;60.95;6972.9;2492.67;9.52;26.33;7.62;2.76;30.43;20.24;2.1;29.6;11.05;16.38;16.24;0.1;34.43;556.19;8.86;51.5;1.48;26.5;1.26;50.8;82.0;14.29;14.1;19.19;0.0;0.0
Real Madrid;La Liga;60.9;47;44;34;40.0;28.4;2.14;2.0;1.55;1.82;1.29;20;0;0.91;74.0;31.8;20.6;0.26;0.6;3.32;3.65;372;16.91;6.14;3.07;7.0;87.5;92.7;91.5;73.2;5.6;562.27;642.45;247.64;225.23;77.82;10542.64;3002.32;13.36;41.68;13.27;1.86;42.18;28.86;3.68;30.3;10.59;12.09;13.73;0.5;29.36;748.64;11.82;58.7;2.27;24.1;1.1;56.0;70.09;11.05;12.95;11.73;15.899999999999999;0.72
Real Sociedad;La Liga;54.8;22;18;12;27.2;15.1;1.05;0.86;0.57;1.29;0.72;21;0;1.0;73.1;52.4;20.5;0.27;-0.5;3.19;3.19;234;11.14;3.67;4.28;-5.199999999999999;80.7;88.1;86.5;62.4;-3.1;397.9;492.95;157.9;175.57;57.62;7754.95;2526.24;7.33;27.62;8.52;1.67;31.67;16.57;1.57;31.7;10.43;13.76;11.19;0.19;28.24;609.24;9.14;53.0;1.62;21.7;1.03;54.4;84.52;13.0;13.1;21.57;5.5;0.26
Sevilla;La Liga;60.9;32;31;25;25.4;19.0;1.45;1.41;1.14;1.16;0.86;16;0;0.73;75.8;50.0;17.1;0.25;1.1;2.82;3.88;264;12.0;3.77;2.68;6.600000000000001;84.3;91.7;90.1;66.9;6.0;495.14;587.14;182.23;220.82;84.95;10228.64;2860.5;9.27;29.95;8.5;2.68;31.27;19.27;2.41;31.3;10.09;13.86;13.18;0.36;27.91;694.32;7.55;55.5;2.09;20.4;0.93;51.3;76.91;12.27;12.36;17.95;5.0;0.22999999999999987
Valencia;La Liga;42.7;33;28;22;25.5;16.2;1.5;1.27;1.0;1.16;0.74;36;2;1.64;67.0;22.7;36.0;0.34;2.0;4.41;2.69;245;11.14;3.82;3.0;7.5;71.7;82.2;79.7;53.0;5.8;254.18;354.36;94.95;101.82;51.32;5484.27;2145.95;8.36;22.09;7.18;2.18;26.68;18.0;2.32;25.9;10.27;14.32;14.82;0.14;31.55;469.59;8.41;56.1;1.32;29.3;1.33;47.7;80.09;17.14;15.45;17.32;-3.8000000000000007;-0.17000000000000015
Villarreal;La Liga;58.9;35;33;31;36.6;27.8;1.59;1.5;1.41;1.66;1.26;23;1;1.05;70.1;40.9;20.9;0.28;-1.1;3.05;2.91;277;12.59;4.27;2.85;-1.6000000000000014;82.9;88.5;88.3;68.9;3.2;450.95;544.18;165.95;207.59;70.05;9057.05;2890.41;9.91;33.36;10.36;2.5;39.18;20.32;2.95;31.9;9.09;13.09;13.86;0.45;29.18;653.91;10.23;58.6;1.45;23.9;1.09;52.1;75.82;13.59;11.32;15.05;12.700000000000003;0.5699999999999998
Arsenal;Premier League;51.5;33;32;24;30.9;19.4;1.57;1.52;1.14;1.47;0.92;25;0;1.19;74.4;47.6;23.5;0.24;-1.5;4.1;3.44;306;14.57;4.95;3.25;2.1000000000000014;81.6;88.8;88.5;58.8;4.6;400.62;491.05;167.9;172.86;52.62;7624.95;2298.05;10.62;28.43;8.95;2.0;29.48;23.52;2.38;30.2;9.29;14.76;13.57;0.52;28.86;602.24;8.0;54.0;1.71;28.8;1.37;47.9;81.33;9.0;9.52;16.62;2.099999999999998;0.09999999999999987
Aston Villa;Premier League;45.7;26;24;21;22.2;16.5;1.24;1.14;1.0;1.06;0.78;32;1;1.52;65.9;28.6;25.0;0.26;-6.0;4.05;2.66;234;11.14;3.62;3.17;3.8000000000000007;76.6;85.7;85.1;54.1;4.5;311.9;407.33;120.81;136.52;48.95;6260.24;2231.71;8.1;23.86;8.05;1.76;30.33;16.95;1.95;28.5;10.33;16.71;16.29;0.19;33.62;525.0;7.48;53.8;1.24;29.0;1.38;48.5;81.14;9.95;13.57;17.19;-6.800000000000001;-0.31999999999999984
Brentford;Premier League;45.4;25;22;16;27.2;17.6;1.09;0.96;0.7;1.18;0.76;38;2;1.65;64.1;17.4;36.4;0.34;0.4;4.48;2.71;250;10.87;3.57;3.73;-2.1999999999999993;71.7;81.6;79.7;50.6;-1.6;302.65;422.26;115.35;134.43;47.65;6074.09;2227.17;7.26;22.83;6.87;2.13;27.26;15.35;1.48;29.8;11.04;15.78;16.26;0.26;35.48;539.65;5.96;53.5;1.0;29.2;1.27;49.7;96.13;10.3;10.17;22.96;-2.0;-0.09000000000000008
Brighton;Premier League;56.1;22;19;19;25.7;17.2;1.0;0.86;0.86;1.17;0.78;23;0;1.05;75.0;27.3;22.8;0.25;-0.2;3.82;3.65;279;12.68;3.64;4.21;-3.6999999999999993;81.3;88.5;87.4;62.1;1.8;448.14;551.45;175.86;202.0;62.18;8729.09;2669.36;9.09;29.59;9.36;2.23;32.64;20.41;1.77;32.2;12.14;17.27;15.36;0.27;35.55;672.41;9.18;59.8;1.36;26.9;1.22;49.9;88.18;9.91;8.55;16.05;-1.1999999999999993;-0.050000000000000044
Burnley;Premier League;39.2;15;15;12;17.3;13.3;0.83;0.83;0.67;0.96;0.74;27;1;1.5;67.5;22.2;22.3;0.28;-3.7;4.61;3.07;191;10.61;3.06;3.67;-2.3000000000000007;68.2;82.1;76.6;48.6;-1.3;245.0;359.17;103.89;86.72;50.11;5253.39;2237.06;7.39;23.33;7.28;2.72;23.22;15.72;1.44;26.8;9.22;19.5;17.61;0.22;34.61;474.72;6.22;54.6;0.67;26.9;1.49;53.5;88.89;9.78;8.11;28.33;-9.599999999999998;-0.53
Chelsea;Premier League;58.8;47;40;32;40.8;29.0;1.96;1.67;1.33;1.7;1.21;18;1;0.75;81.6;41.7;19.2;0.21;2.2;3.17;4.22;347;14.46;4.96;2.98;6.200000000000003;84.5;90.9;89.2;65.1;3.0;507.0;599.96;215.92;222.0;59.58;9388.92;2893.46;10.5;37.33;11.21;1.62;40.5;24.0;3.38;30.6;10.62;15.25;15.67;0.29;33.08;720.5;9.33;59.7;1.96;22.1;0.92;52.2;82.58;10.17;11.17;16.67;18.699999999999996;0.7799999999999999
Crystal Palace;Premier League;50.8;31;28;20;27.5;19.8;1.41;1.27;0.91;1.25;0.9;34;1;1.55;66.7;22.7;29.3;0.28;-3.7;4.23;2.74;244;11.09;3.55;2.79;3.5;79.9;87.8;86.5;58.7;0.2;388.23;486.14;150.86;176.23;54.55;7583.18;2469.14;7.68;23.73;7.86;2.36;27.77;17.05;2.05;29.3;11.36;16.73;14.09;0.27;33.36;615.0;9.45;52.9;1.09;27.2;1.24;53.5;84.32;11.32;12.32;19.91;0.3000000000000007;0.010000000000000009
Everton;Premier League;41.1;24;21;18;24.6;16.0;1.2;1.05;0.9;1.23;0.8;35;2;1.75;61.8;15.0;28.6;0.31;-4.4;4.45;2.54;244;12.2;3.6;3.43;-0.6000000000000014;72.2;83.9;79.5;51.3;2.0;276.1;382.15;109.75;111.75;46.4;5601.15;2082.7;8.85;22.75;7.5;2.65;26.1;19.25;1.95;31.2;12.25;17.3;16.7;0.3;37.2;505.35;8.15;53.1;0.95;28.1;1.4;45.1;89.05;9.7;10.2;18.35;-3.5;-0.16999999999999993
Leeds United;Premier League;55.6;24;20;16;27.2;17.8;1.14;0.95;0.76;1.3;0.85;40;1;1.9;65.4;14.3;33.5;0.29;-5.5;5.1;2.68;294;14.0;4.1;4.3;-3.1999999999999993;78.6;86.5;87.3;55.6;-1.8;378.1;480.95;147.67;169.38;54.0;7411.19;2412.81;10.0;26.33;8.1;1.81;33.33;21.14;1.9;30.3;11.71;16.48;16.33;0.43;37.38;606.24;8.52;48.8;1.05;37.4;1.78;45.1;87.52;11.62;9.52;15.29;-10.2;-0.48
Leicester City;Premier League;49.2;34;33;25;31.1;19.9;1.7;1.65;1.25;1.55;0.99;37;1;1.85;67.3;15.0;32.6;0.28;-3.4;4.9;2.65;239;11.95;4.6;2.79;2.8999999999999986;79.7;87.2;87.5;54.2;5.1;384.5;482.15;158.1;172.3;46.75;7264.6;2422.3;8.1;21.9;6.9;0.95;30.35;17.5;2.55;28.6;11.05;17.2;15.3;0.45;35.35;605.2;7.55;51.9;1.3;36.4;1.82;51.9;82.25;8.85;11.0;17.3;-5.299999999999997;-0.27
Liverpool;Premier League;62.4;58;55;44;54.1;37.3;2.64;2.5;2.0;2.46;1.7;19;1;0.86;69.8;50.0;21.1;0.34;3.1;2.86;3.32;417;18.95;6.36;2.55;3.8999999999999986;82.7;88.8;88.3;66.5;6.7;528.5;639.32;204.95;238.68;78.0;10458.5;3351.18;13.18;46.09;14.05;2.59;51.64;28.55;4.41;32.6;9.59;11.77;14.55;0.18;29.41;752.27;8.55;53.4;2.18;23.0;1.05;52.7;99.41;10.23;7.59;16.45;31.1;1.41
