Squad;Competition;Poss%;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;GA;OG;GA/90;Save%;CS%;PSxG;PSxG/SoT;PSxG+/-;SoTA/90;SoTA/GA;Sh;Sh/90;SoT/90;SoT/G;G-xG;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xA;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;SCA/90;GCA/90;Press%;TklW/90;Blocks/90;Int/90;Err/90;Tkl+Int/90;Touches/90;Dribbles/90;Dribbles%;Points/90;xGA;xGA/90;Aerial%;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90
Dortmund;Bundesliga;59.9;49;43;34;37.5;25.6;2.45;2.15;1.7;1.88;1.28;31;1;1.55;67.1;10.0;26.8;0.29;-3.2;4.1;2.65;282;14.1;5.0;2.33;11.5;83.2;88.2;88.6;67.6;8.4;524.25;630.0;208.5;235.4;69.55;9973.65;3144.4;10.25;33.95;9.2;1.85;42.2;22.65;3.95;34.8;12.45;15.15;14.3;0.25;33.0;749.6;9.25;52.1;2.15;26.4;1.32;52.5;94.8;10.9;11.2;15.4;11.100000000000001;0.5599999999999998
Eint Frankfurt;Bundesliga;49.3;29;28;21;29.7;21.0;1.45;1.4;1.05;1.48;1.05;30;0;1.5;72.4;15.0;31.6;0.3;1.6;4.9;3.27;262;13.1;4.15;2.96;-0.6999999999999993;75.1;83.7;83.2;54.5;0.0;366.2;487.9;134.0;168.6;57.85;7473.75;2684.65;9.3;26.8;7.3;2.4;33.5;19.5;2.25;31.4;11.5;18.6;15.9;0.2;35.15;614.75;7.75;51.7;1.4;33.3;1.66;48.3;100.95;12.6;9.2;21.45;-3.599999999999998;-0.17999999999999994
Freiburg;Bundesliga;47.3;30;27;18;29.3;19.7;1.5;1.35;0.9;1.46;0.98;23;1;1.15;75.3;35.0;23.0;0.25;1.0;4.45;3.87;269;13.45;4.75;3.52;0.6999999999999993;74.9;83.0;83.7;56.9;-1.7;330.2;440.75;122.65;142.45;58.6;6909.95;2634.8;9.45;23.9;7.75;2.7;29.45;20.1;2.35;30.5;9.85;15.4;15.4;0.35;32.55;556.85;6.3;51.2;1.65;25.3;1.27;54.4;89.85;11.85;11.15;25.6;4.0;0.18999999999999995
Greuther Fürth;Bundesliga;43.7;16;13;10;19.4;12.0;0.8;0.65;0.5;0.97;0.6;52;4;2.6;57.5;15.0;43.4;0.36;-4.6;5.65;2.17;190;9.5;3.0;4.62;-3.3999999999999986;73.8;84.4;83.8;52.7;-2.0;298.7;404.8;112.55;128.05;51.55;6151.4;2370.2;6.8;21.75;4.9;1.5;27.6;14.55;0.95;31.7;10.75;16.95;17.5;0.3;36.5;533.55;8.45;50.9;0.5;36.7;1.84;44.3;85.45;12.4;13.0;18.55;-17.300000000000004;-0.8700000000000001
Hertha BSC;Bundesliga;44.6;21;20;13;19.7;14.0;1.05;1.0;0.65;0.99;0.7;42;0;2.1;62.5;15.0;39.8;0.36;-2.2;5.2;2.48;205;10.25;3.75;3.75;1.3000000000000007;75.8;84.0;83.7;56.9;-1.0;324.4;427.8;123.9;141.55;52.85;6514.8;2400.8;7.2;17.3;5.5;1.15;25.6;15.1;1.5;30.0;11.1;17.35;15.85;0.45;34.0;557.65;8.05;50.3;1.1;33.3;1.66;49.0;86.25;12.1;13.0;18.9;-13.599999999999998;-0.6699999999999999
Hoffenheim;Bundesliga;54.4;39;39;27;33.8;24.9;1.95;1.95;1.35;1.69;1.25;32;1;1.6;63.6;25.0;30.3;0.35;-0.7;4.4;2.75;274;13.7;4.55;2.33;5.200000000000003;79.9;86.5;87.5;61.5;2.1;433.55;542.4;166.4;192.4;66.75;8592.25;2938.3;9.4;28.6;9.6;3.25;36.1;21.25;3.25;33.8;10.6;15.4;14.1;0.25;30.9;656.5;6.7;49.4;1.55;27.4;1.37;46.1;88.55;12.2;10.45;17.55;6.399999999999999;0.31999999999999984
Köln;Bundesliga;55.7;32;32;23;30.8;23.3;1.6;1.6;1.15;1.54;1.16;34;1;1.7;63.4;5.0;29.5;0.32;-3.5;4.65;2.74;287;14.35;4.6;2.88;1.1999999999999993;76.7;82.9;83.9;64.6;-0.3;378.0;492.55;117.6;177.0;77.65;8203.6;2924.15;10.75;27.1;9.4;3.7;36.2;21.65;2.5;35.6;11.7;16.1;18.9;0.35;37.55;619.65;8.2;52.6;1.45;30.9;1.54;52.1;94.55;11.95;13.1;21.4;-0.09999999999999787;0.0
Leverkusen;Bundesliga;53.7;46;44;37;36.8;23.4;2.3;2.2;1.85;1.84;1.17;32;0;1.6;72.7;20.0;33.1;0.29;1.1;5.5;3.44;271;13.55;5.75;2.61;9.200000000000003;81.3;87.4;88.2;64.3;13.6;425.25;523.15;164.85;186.7;65.85;8352.95;2771.75;9.75;26.65;8.65;1.65;33.55;21.55;4.1;33.0;10.3;15.6;17.55;0.3;34.3;646.9;12.75;56.7;1.75;29.6;1.48;51.4;83.85;10.5;9.75;16.0;7.199999999999996;0.3600000000000001
M'Gladbach;Bundesliga;55.4;26;25;17;33.2;20.9;1.3;1.25;0.85;1.66;1.04;37;1;1.85;66.0;10.0;39.7;0.35;3.7;5.3;2.86;302;15.1;4.85;3.88;-7.200000000000003;82.4;88.1;88.8;65.3;-3.9;449.0;544.95;178.4;196.65;66.75;8750.6;2926.9;10.55;27.55;7.9;1.65;38.05;23.15;1.85;32.2;10.8;17.65;17.1;0.2;36.05;676.45;9.8;56.6;1.1;33.3;1.66;49.6;85.95;10.8;14.15;15.95;-0.09999999999999432;0.0
Mainz 05;Bundesliga;45.7;27;27;23;27.6;20.2;1.35;1.35;1.15;1.38;1.01;23;1;1.15;69.1;35.0;21.3;0.29;-0.7;3.4;2.96;272;13.6;4.7;3.48;-0.6000000000000014;72.9;83.3;79.8;50.1;2.8;317.85;435.85;130.0;134.25;45.85;6108.95;2399.5;9.15;24.85;6.9;2.25;33.65;18.95;2.15;32.1;12.45;17.5;16.9;0.25;37.65;567.15;6.1;49.0;1.35;25.3;1.27;48.1;100.15;14.15;10.55;22.65;2.3000000000000007;0.10999999999999988
RB Leipzig;Bundesliga;58.5;38;32;27;42.2;29.3;1.9;1.6;1.35;2.11;1.47;23;0;1.15;72.2;25.0;25.4;0.32;2.4;3.6;3.13;279;13.95;4.9;3.06;-4.200000000000003;81.5;88.4;87.4;59.2;-2.3;470.3;577.05;207.25;196.8;55.35;8580.45;2968.05;10.0;35.45;12.1;2.75;43.2;21.8;3.3;35.6;9.8;16.8;15.95;0.3;32.8;702.2;9.3;53.0;1.55;28.9;1.44;51.8;97.0;11.3;12.65;18.55;13.300000000000004;0.6699999999999999
Stuttgart;Bundesliga;52.6;22;22;18;21.5;15.5;1.1;1.1;0.9;1.08;0.78;35;1;1.75;68.0;15.0;28.5;0.26;-5.5;5.15;2.94;244;12.2;4.05;3.68;0.5;81.3;88.2;87.5;62.8;2.5;437.2;537.45;176.85;191.35;61.7;8432.95;2768.55;8.95;29.0;7.2;1.6;33.95;19.3;1.95;31.2;11.0;17.4;15.8;0.25;34.8;667.3;11.15;54.5;0.9;31.4;1.57;54.8;86.8;11.65;12.1;19.0;-9.899999999999999;-0.49
Union Berlin;Bundesliga;42.7;29;26;20;29.6;17.0;1.45;1.3;1.0;1.48;0.85;25;2;1.25;69.6;30.0;24.9;0.31;1.9;3.95;3.16;240;12.0;4.2;3.23;-0.6000000000000014;73.8;81.0;83.3;55.1;3.0;317.65;430.45;104.25;150.5;57.8;6765.85;2475.75;8.3;22.15;6.7;3.05;26.95;17.8;2.1;30.6;8.9;15.95;13.75;0.15;30.8;547.1;6.05;53.5;1.7;26.3;1.32;47.1;92.95;11.2;9.7;22.1;3.3000000000000007;0.15999999999999992
Wolfsburg;Bundesliga;52.5;17;16;11;28.2;18.6;0.85;0.8;0.55;1.41;0.93;32;1;1.6;59.7;30.0;27.7;0.34;-3.3;3.6;2.25;262;13.1;3.9;4.88;-11.2;78.3;83.9;86.4;63.0;-7.6;385.8;492.95;129.3;180.65;70.4;8174.0;2771.55;9.0;25.2;7.8;2.2;33.0;19.9;1.35;32.1;9.95;15.75;17.3;0.3;35.35;617.05;10.05;56.1;1.05;28.7;1.44;55.9;93.35;13.6;12.25;22.3;-0.5;-0.030000000000000027
Atalanta;Serie A;54.4;41;38;30;37.5;28.7;1.86;1.73;1.36;1.7;1.31;26;1;1.18;65.7;31.8;21.8;0.3;-3.2;3.18;2.69;332;15.09;4.68;2.71;3.5;81.4;87.9;86.8;62.8;1.3;448.23;550.32;186.59;192.95;60.45;8546.41;2765.32;11.91;34.36;10.68;2.27;40.82;24.73;3.14;33.0;11.09;16.0;15.73;0.09;34.14;671.64;8.27;50.8;1.95;25.4;1.15;57.3;91.91;13.55;12.5;20.5;12.100000000000001;0.55
Bologna;Serie A;50.1;28;25;23;23.8;16.4;1.27;1.14;1.05;1.08;0.75;37;2;1.68;70.2;31.8;34.0;0.28;-1.0;4.73;2.81;266;12.09;4.05;3.56;4.199999999999999;80.4;88.5;86.1;60.8;6.6;388.64;483.14;166.05;156.77;56.91;7391.45;2511.91;9.09;25.68;7.82;2.55;28.05;19.18;2.36;29.1;8.45;13.86;13.09;0.23;27.95;588.82;7.82;55.1;1.23;29.1;1.32;46.9;76.73;11.23;14.14;14.59;-5.300000000000001;-0.24
Cagliari;Serie A;42.7;22;19;16;24.7;17.4;0.96;0.83;0.7;1.07;0.75;44;1;1.91;64.5;4.3;40.2;0.32;-2.8;4.78;2.5;232;10.09;2.65;3.21;-2.6999999999999993;75.5;85.8;83.4;55.6;-1.4;312.26;413.52;116.83;135.17;54.83;6417.7;2282.09;7.48;21.17;6.48;2.57;23.52;15.48;1.52;27.0;9.52;15.48;15.74;0.09;31.35;519.52;5.83;55.8;0.74;38.3;1.67;49.1;75.74;13.52;12.78;19.91;-13.599999999999998;-0.5999999999999999
Empoli;Serie A;48.2;34;28;19;32.1;18.7;1.48;1.22;0.83;1.4;0.81;47;4;2.04;66.2;13.0;44.6;0.32;1.6;5.65;2.77;336;14.61;4.43;3.64;1.8999999999999986;78.7;88.3;85.9;57.7;0.3;355.3;451.52;136.96;161.3;52.13;6993.13;2556.13;10.13;26.09;10.52;2.17;36.09;21.91;2.39;27.3;11.35;14.74;13.43;0.13;31.13;566.39;6.96;49.5;1.26;42.1;1.83;45.2;76.43;12.78;12.96;12.91;-10.0;-0.43000000000000016
Fiorentina;Serie A;57.6;41;35;23;36.0;21.8;1.86;1.59;1.05;1.63;0.99;30;1;1.37;61.1;22.7;25.8;0.31;-3.2;3.27;2.4;288;13.09;4.91;3.09;5.0;84.4;89.3;89.3;73.7;1.2;470.64;557.73;155.82;219.73;89.68;10065.86;3042.64;9.86;29.23;9.59;2.73;34.59;21.68;2.95;30.2;8.36;12.32;12.73;0.32;27.14;660.95;6.82;53.0;1.64;26.8;1.22;52.5;75.86;11.59;14.41;15.64;9.2;0.4099999999999999
Genoa;Serie A;43.8;20;15;15;20.9;13.0;0.87;0.65;0.65;0.91;0.56;45;2;1.96;64.4;17.4;37.0;0.3;-6.0;5.13;2.62;217;9.43;2.48;3.8;-0.8999999999999986;75.8;85.1;83.7;55.4;2.0;322.74;425.7;129.35;137.17;50.87;6409.7;2259.26;6.26;19.26;4.91;1.43;25.13;13.7;1.65;29.1;11.78;19.13;18.43;0.17;38.26;548.83;7.96;53.0;0.57;33.6;1.46;44.9;82.87;13.91;13.7;16.13;-12.700000000000003;-0.5499999999999999
Hellas Verona;Serie A;51.5;42;36;31;33.4;21.5;1.83;1.57;1.35;1.45;0.93;38;2;1.65;60.2;8.7;29.1;0.3;-6.9;3.83;2.32;296;12.87;4.09;2.61;8.600000000000001;77.2;84.9;83.5;58.0;9.5;360.52;467.13;147.43;150.7;53.22;6934.26;2512.22;9.43;26.35;10.04;2.26;35.74;19.91;2.83;31.7;10.65;16.22;13.7;0.17;30.04;588.74;7.57;55.8;1.43;28.3;1.23;49.3;91.35;14.74;10.83;20.22;5.099999999999998;0.21999999999999997
Inter;Serie A;56.9;53;47;34;46.7;30.1;2.41;2.14;1.55;2.12;1.37;17;1;0.77;81.1;45.5;17.2;0.2;1.2;3.36;4.35;374;17.0;6.23;2.91;6.299999999999997;85.3;90.6;89.4;72.4;3.9;498.5;584.18;208.68;207.77;72.82;9616.27;3025.41;12.73;33.36;12.23;3.45;38.55;27.09;3.73;30.5;10.23;12.68;11.27;0.14;27.59;688.18;6.14;56.7;2.41;21.9;1.0;56.6;78.59;12.18;11.27;17.82;24.800000000000004;1.12
Juventus;Serie A;53.7;34;30;18;31.7;19.7;1.48;1.3;0.78;1.38;0.86;21;0;0.91;71.0;43.5;21.9;0.3;0.9;3.0;3.29;333;14.48;4.48;3.43;2.3000000000000007;84.3;87.8;90.6;70.8;-1.7;456.52;541.65;161.61;212.35;77.0;9408.35;2889.43;10.3;33.09;8.09;2.65;33.91;23.09;2.35;32.6;10.09;15.26;14.13;0.26;29.87;656.65;8.09;55.4;1.83;20.6;0.9;55.0;80.04;14.13;13.17;16.22;11.099999999999998;0.47999999999999987
Lazio;Serie A;54.7;46;43;35;30.1;21.4;2.0;1.87;1.52;1.31;0.93;39;0;1.7;58.5;17.4;33.1;0.35;-5.9;3.57;2.1;248;10.78;4.43;2.37;15.899999999999999;85.9;91.2;89.1;69.6;13.6;522.04;607.52;239.74;208.7;60.96;9346.48;2926.22;8.43;33.61;8.74;1.65;32.57;18.22;3.3;26.7;9.17;14.87;12.7;0.0;29.04;712.52;8.22;54.8;1.57;30.4;1.32;51.9;74.13;11.83;11.17;13.39;-0.29999999999999716;-0.010000000000000009
Milan;Serie A;55.0;44;39;23;39.1;25.0;1.91;1.7;1.0;1.7;1.09;25;2;1.09;73.4;34.8;26.5;0.28;3.5;3.43;3.16;355;15.43;4.35;2.56;4.899999999999999;82.9;88.6;88.7;66.4;-2.0;437.78;528.0;174.48;188.48;65.17;8484.0;2692.17;11.04;30.22;10.39;3.09;36.04;24.52;2.87;31.4;12.09;13.87;15.52;0.26;34.43;640.83;11.48;60.6;2.13;24.0;1.04;49.2;79.7;12.65;13.65;15.39;15.100000000000001;0.6599999999999999
Napoli;Serie A;60.0;43;37;26;38.2;23.9;1.87;1.61;1.13;1.66;1.04;16;1;0.7;78.9;52.2;15.6;0.21;0.6;3.09;4.44;377;16.39;5.09;3.16;4.799999999999997;86.8;92.1;90.3;71.0;2.1;543.3;625.96;248.74;219.74;63.0;9787.83;2974.0;12.87;38.39;10.91;2.22;37.61;28.0;2.74;31.7;10.39;13.39;10.83;0.0;26.09;726.22;8.17;57.1;2.13;16.4;0.71;48.5;72.48;12.43;12.39;11.43;21.800000000000004;0.95
Roma;Serie A;50.3;39;37;26;39.6;25.3;1.7;1.61;1.13;1.72;1.1;30;1;1.3;68.6;34.8;27.2;0.28;-1.8;3.74;2.87;368;16.0;4.61;2.86;-0.6000000000000014;82.2;87.1;88.9;67.2;0.7;401.13;488.09;143.43;184.83;67.48;8208.61;2670.39;11.13;28.83;9.52;2.22;34.09;23.91;2.57;29.4;10.7;13.83;14.13;0.13;31.09;597.96;7.3;47.1;1.65;27.2;1.18;52.0;74.43;13.43;11.26;14.65;12.400000000000002;0.54
Salernitana;Serie A;37.9;13;11;8;17.8;11.5;0.59;0.5;0.36;0.85;0.55;50;2;2.27;63.0;4.5;37.5;0.28;-10.5;5.77;2.54;206;9.36;2.59;5.18;-4.800000000000001;73.9;83.9;80.3;55.8;-3.5;258.68;350.23;105.36;104.05;43.45;5173.55;2144.41;6.73;20.05;5.95;2.0;24.5;14.43;0.86;24.9;8.45;15.5;14.18;0.14;27.86;457.86;6.64;57.7;0.5;39.5;1.8;52.7;72.73;12.18;11.86;17.55;-21.7;-0.9500000000000001
Sampdoria;Serie A;45.2;25;24;19;22.7;16.6;1.09;1.04;0.83;0.99;0.72;41;1;1.78;65.5;13.0;35.6;0.3;-4.4;5.04;2.83;263;11.43;3.43;3.29;2.3000000000000007;74.5;83.0;81.7;56.9;2.4;323.09;433.43;122.3;137.83;55.96;6582.65;2438.04;8.35;24.61;7.65;2.13;31.26;17.83;1.74;30.0;9.3;15.87;16.74;0.26;32.35;541.7;5.43;56.6;0.87;34.9;1.52;56.1;84.39;12.87;12.7;21.04;-12.2;-0.53
Sassuolo;Serie A;56.8;36;33;25;33.0;23.5;1.57;1.43;1.09;1.44;1.02;38;1;1.65;59.8;8.7;33.2;0.36;-3.8;3.57;2.16;332;14.43;5.22;3.64;3.0;84.3;90.4;89.1;68.4;1.5;462.96;549.35;194.3;193.35;66.57;8845.57;2852.0;10.57;29.65;8.09;1.61;36.0;22.78;2.61;28.8;8.22;14.83;12.91;0.65;26.52;660.43;8.09;51.2;1.26;36.5;1.59;47.7;76.09;11.96;12.96;11.43;-3.5;-0.15000000000000013
Spezia;Serie A;45.1;21;21;15;21.9;17.7;0.91;0.91;0.65;0.95;0.77;42;2;1.83;69.7;17.4;37.9;0.27;-2.1;5.17;2.83;245;10.65;3.7;4.05;-0.8999999999999986;77.9;86.4;85.3;56.9;-2.7;334.74;429.65;135.26;139.39;52.7;6616.7;2340.83;7.91;21.43;6.3;2.0;25.78;16.48;1.39;29.7;9.96;17.48;14.52;0.26;31.13;546.78;7.26;53.7;1.09;41.0;1.78;44.7;77.35;13.43;12.13;14.96;-19.1;-0.8300000000000001
Torino;Serie A;53.0;28;28;20;29.4;21.8;1.27;1.27;0.91;1.34;0.99;21;0;0.95;70.5;22.7;19.7;0.27;-1.3;2.77;2.9;299;13.59;4.09;3.21;-1.3999999999999986;78.0;86.9;85.1;56.8;-1.8;372.73;477.95;151.45;157.5;56.64;7381.23;2423.18;9.95;30.18;7.86;2.64;28.91;21.41;2.23;32.4;8.0;13.73;16.32;0.23;31.32;591.77;7.95;56.8;1.45;20.7;0.94;46.0;94.41;17.73;11.32;22.18;8.7;0.40000000000000013
Udinese;Serie A;40.9;26;25;17;25.4;17.2;1.18;1.14;0.77;1.21;0.82;36;1;1.64;59.8;22.7;29.1;0.33;-5.9;3.73;2.28;258;11.73;4.18;3.68;0.6000000000000014;77.7;86.8;84.8;54.8;-0.2;299.68;385.5;121.45;130.41;41.68;5793.41;2031.68;8.68;19.18;5.59;1.09;21.09;19.24;1.95;30.1;11.05;16.0;13.41;0.36;30.55;498.77;8.86;51.7;1.09;29.4;1.34;48.0;75.82;12.91;11.86;14.18;-4.0;-0.13000000000000012
Venezia;Serie A;42.1;20;18;14;20.3;16.1;0.91;0.82;0.64;0.92;0.73;40;2;1.82;72.7;13.6;42.7;0.31;4.7;5.82;3.2;198;9.0;3.0;3.67;-0.3000000000000007;78.5;85.8;86.3;61.2;-2.1;325.73;415.09;117.86;146.95;56.59;6705.23;2318.64;6.91;19.64;5.55;1.59;23.09;14.55;1.59;25.8;9.95;18.91;17.45;0.18;33.5;534.55;8.32;55.1;0.82;38.2;1.74;47.5;71.36;13.64;10.86;15.82;-17.900000000000002;-0.82
